Item	Variety	Cup_Quantity	 GW wt	 Oz. Wt	Carb_level_id	Notes
Mushroom, Portabella	Raw	0.5	43	1.52	2	sliced
Mushroom, Portabella	Cooked from fresh variety	0.5	60.5	2.13	2	sliced
Mushroom, Straw	Cooked from canned variety	0.5	91	3.21	1	
Mushroom, White	Raw	0.5	35	1.23	1	pieces
Mushroom, White	Cooked from fresh variety	0.5	78	2.75	1	
Nopales	Raw	0.5	43	1.52	1	slices
Okra	Raw	0.5	50	1.76	3	
Okra	Cooked from frozen variety	0.5	92	3.25	3	
Okra	Cooked from fresh variety	0.5	80	2.82	3	
Peppers, Green Sweet	Raw	0.5	74.5	2.63	3	chopped
Peppers, Green Sweet	Cooked from frozen variety	0.5	68	2.4	3	
Peppers, Green Sweet	Cooked from fresh variety	0.5	68	2.4	3	
Peppers, Green Sweet	Cooked from canned variety	0.5	70	2.47	3	
Peppers, Red Sweet	Raw	0.5	74.5	2.63	3	chopped
Peppers, Red Sweet	Cooked from frozen variety	0.5	68	2.4	3	
Peppers, Red Sweet	Cooked from fresh variety	0.5	68	2.4	3	
Peppers, Red Sweet	Cooked from canned variety	0.5	70	2.47	3	
Peppers, Yellow Sweet	Raw	0.5	74.5	2.63	3	chopped
Radishes	Raw	0.5	58	2.05	1	slices
Radishes, Oriental	Raw	0.5	58	2.05	1	slices
Radishes, Oriental	Cooked from fresh variety	0.5	73.5	2.59	1	slices
Sauerkraut (low-sodium)	Raw	0.5	71	2.5	3	
Scallions	Raw	0.5	50	1.76	3	
Shirataki Noodles	N/A	0.5	113	3.99	3	
Spinach	Cooked from frozen variety	0.5	95	3.35	2	
Spinach	Cooked from fresh variety	0.5	90	3.77	2	
Spinach	Cooked from canned variety	0.5	107	3.77	2	
Spinach, Malabar	Cooked from fresh variety	0.5	90	3.17	2	
Spinach, Mustard (Tendergreen)	Cooked from fresh variety	0.5	90	3.17	2	chopped
Spinach, Mustard (Tendergreen)	Raw	1	150	5.29	1	chopped
Spinach, New Zealand	Cooked from frozen variety	0.5	90	3.17	2	chopped
Spinach, New Zealand	Raw	1	56	1.97	1	chopped
Spinach	Raw	1	30	1.06	1	
Sprouts, Alfalfa	Raw	0.5	16.5	0.58	1	
Sprouts, Mung Bean Sprouts	Raw	0.5	52	1.83	1	
Sprouts, Mung Bean Sprouts	Cooked from fresh variety	0.5	62	2.19	1	
Squash, Summer, Crookneck and Straightneck	Raw	0.5	65	2.29	3	sliced
Squash, Summer, Crookneck and Straightneck	Cooked from frozen variety	0.5	96	3.39	3	slices
Squash, Summer, Crookneck and Straightneck	Cooked from fresh variety	0.5	90	3.17	3	slices
Squash, Summer, Crookneck and Straightneck w/skin	Cooked from canned variety	0.5	105	3.7	3	
Squash, Summer, Scallop	Raw	0.5	65	2.29	2	sliced
Squash, Summer, Scallop	Cooked from frozen variety	0.5	90	3.17	2	slices
Squash, Summer, Zucchini w/skin	Raw	0.5	56.5	1.99	2	sliced
Squash, Summer, Zucchini	Cooked from fresh variety w/skin	0.5	90	3.17	2	
Squash, Summer, Zucchini	Cooked from frozen variety w/skin	0.5	111.5	3.93	2	
Squash, Spaghetti	Raw	0.5	50.5	1.78	3	cubes
Squash, Spaghetti	Cooked from fresh variety	0.5	77.5	2.73	3	
Tomato, red ripe	Raw	0.5	90	3.17	3	chopped or sliced
Tomato, red ripe	Raw	0.5	74.5	2.63	3	cherry
Tomato, red ripe packed in tomato juice	Cooked from canned variety	0.5	120	4.23	3	with juice
Tomato, red ripe	Cooked from fresh variety	0.5	120	4.23	3	
Turnips	Raw	0.5	65	2.29	3	cubes
Turnips	Cooked from frozen variety	0.5	78	2.75	3	
Turnips	Cooked from fresh variety	0.5	78	2.75	3	
Watercress	Raw	1	34	1.2	1	chopped
